year,category,movie,winner
1936.0,actress,The Great Ziegfeld,true
1936.0,actress in a supporting role,Anthony Adverse,true
1936.0,actor,The Story of Louis Pasteur,true
1936.0,actor in a supporting role,Come and Get It,true
1937.0,actress,The Good Earth,true
1937.0,actor in a supporting role,The Life of Emile Zola,true
1937.0,actress in a supporting role,In Old Chicago,true
1937.0,actor,Captains Courageous,true
1938.0,actress in a supporting role,Jezebel,true
1938.0,actress,Jezebel,true
1938.0,actor in a supporting role,Kentucky,true
1938.0,actor,Boys Town,true
1939.0,actor,"Goodbye, Mr. Chips",true
1939.0,actor in a supporting role,Stagecoach,true
1939.0,actress in a supporting role,Gone with the Wind,true
1939.0,actress,Gone with the Wind,true
1940.0,actor in a supporting role,The Westerner,true
1940.0,actress in a supporting role,The Grapes of Wrath,true
1940.0,actor,The Philadelphia Story,true
1940.0,actress,Kitty Foyle,true
1941.0,actress in a supporting role,The Great Lie,true
1941.0,actor,Sergeant York,true
1941.0,actor in a supporting role,How Green Was My Valley,true
1941.0,actress,Suspicion,true
1942.0,actress in a supporting role,Mrs. Miniver,true
1942.0,actor,Yankee Doodle Dandy,true
1942.0,actress,Mrs. Miniver,true
1942.0,actor in a supporting role,Johnny Eager,true
1943.0,actress,The Song of Bernadette,true
1943.0,actor in a supporting role,The More the Merrier,true
1943.0,actor,Watch on the Rhine,true
1943.0,actress in a supporting role,For Whom the Bell Tolls,true
1944.0,actor in a supporting role,Going My Way,true
1944.0,actress in a supporting role,None but the Lonely Heart,true
1944.0,actor,Going My Way,true
1944.0,actress,Gaslight,true
1945.0,actress in a supporting role,National Velvet,true
1945.0,actress,Mildred Pierce,true
1945.0,actor,The Lost Weekend,true
1945.0,actor in a supporting role,A Tree Grows in Brooklyn,true
1946.0,actress in a supporting role,The Razor's Edge,true
1946.0,actress,To Each His Own,true
1946.0,actor,The Best Years of Our Lives,true
1946.0,actor in a supporting role,The Best Years of Our Lives,true
1947.0,actress,The Farmer's Daughter,true
1947.0,actor,A Double Life,true
1947.0,actress in a supporting role,Gentleman's Agreement,true
1947.0,actor in a supporting role,Miracle on 34th Street,true
1948.0,actor,Hamlet,true
1948.0,actor in a supporting role,The Treasure of the Sierra Madre,true
1948.0,actress in a supporting role,Key Largo,true
1948.0,actress,Johnny Belinda,true
1949.0,actor in a supporting role,Twelve O'Clock High,true
1949.0,actress in a supporting role,All the King's Men,true
1949.0,actress,The Heiress,true
1949.0,actor,All the King's Men,true
1950.0,actor in a supporting role,All about Eve,true
1950.0,actress,Born Yesterday,true
1950.0,actress in a supporting role,Harvey,true
1950.0,actor,Cyrano de Bergerac,true
1951.0,actress,A Streetcar Named Desire,true
1951.0,actor in a supporting role,A Streetcar Named Desire,true
1951.0,actress in a supporting role,A Streetcar Named Desire,true
1951.0,actor,The African Queen,true
1952.0,actor in a supporting role,Viva Zapata!,true
1952.0,actress,"Come Back, Little Sheba",true
1952.0,actor,High Noon,true
1952.0,actress in a supporting role,The Bad and the Beautiful,true
1953.0,actress in a supporting role,From Here to Eternity,true
1953.0,actor in a supporting role,From Here to Eternity,true
1953.0,actor,Stalag 17,true
1953.0,actress,Roman Holiday,true
1954.0,actor,On the Waterfront,true
1954.0,actor in a supporting role,The Barefoot Contessa,true
1954.0,actress in a supporting role,On the Waterfront,true
1954.0,actress,The Country Girl,true
1955.0,actress,The Rose Tattoo,true
1955.0,actor in a supporting role,Mister Roberts,true
1955.0,actor,Marty,true
1955.0,actress in a supporting role,East of Eden,true
1956.0,actor,The King and I,true
1956.0,actress,Anastasia,true
1956.0,actor in a supporting role,Lust for Life,true
1956.0,actress in a supporting role,Written on the Wind,true
1957.0,actress,The Three Faces of Eve,true
1957.0,actress in a supporting role,Sayonara,true
1957.0,actor in a supporting role,Sayonara,true
1957.0,actor,The Bridge on the River Kwai,true
1958.0,actor,Separate Tables,true
1958.0,actress,I Want to Live!,true
1958.0,actor in a supporting role,The Big Country,true
1958.0,actress in a supporting role,Separate Tables,true
1959.0,actress,Room at the Top,true
1959.0,actress in a supporting role,The Diary of Anne Frank,true
1959.0,actor,Ben-Hur,true
1959.0,actor in a supporting role,Ben-Hur,true
1960.0,actress,Butterfield 8,true
1960.0,actor in a supporting role,Spartacus,true
1960.0,actor,Elmer Gantry,true
1960.0,actress in a supporting role,Elmer Gantry,true
